name,count
沈宸,1935
冷雪霜,327
冷雨烟,256
沈总,243
冷臻楠,230
陈曦曦,187
聂圣轩,154
方春茹,135
黎香,133
秦恒,133
沈,122
杜以深,119
章,114
冷岩,113
沈少,113
李良,102
沈氏,97
曦,85
小姐,84
美玲,82
薛晓柔,75
老太太,70
谢谢,60
张伯,47
阿姨,46
刘总,42
杜峰,34
刘,33
林婶,33
杜,32
恩,31
杜梦熙,31
孙子,31
老公,29
言语,28
昂,26
明白,25
雨烟姐,24
宋莲芳,23
张,22
原谅,21
秦霸,20
梁博,20
姜玲儿,19
安静,19
少夫人,17
白皙,17
连,17
沈泽初,16
帅,16
冷雨,16
孙媳妇,14
晓柔,14
方姨,14
秦家,13
冷笑,13
阿杰,13
哈,13
王八蛋,12
和楠楠,11
师哥,11
李特助,11
伯伯,10
幼儿园,10
英俊,10
阴冷,10
呼唤,10
秦恒哥,9
沈父,9
太久,9
黎姨,9
安保,9
老婆大人,9
沈母,9
和善,9
大少爷,9
臻,9
孙儿,8
小柔,8
沈大少,8
聂,8
冷氏,7
别以为,7
爽,7
杜少,7
小茹,7
安抚,7
韩宛青,7
秦霸天,6
杜哥,6
安全带,6
尤物,6
泽,6
么,6
姜小姐,6
阳光,6
耶,6
大屏幕,6
王子,6
宝贝,6
秦,5
小三,5
白叔,5
小妞,5
以身相许,5
曹操,5
扶正,5
若想,5
寒暄,5
安嘉勋,5
殷勤,5
盛世,5
爱慕,5
帅哥,5
容颜,5
空旷,5
小丫头,5
明星,5
大姨妈,5
连衣裙,5
陈婶,4
金碧辉煌,4
胡闹,4
香艳,4
涂抹,4
勾勾,4
张开,4
宝宝,4
小鹿,4
麻利,4
春茹,4
花香,4
杜氏,4
老虎,4
旷工,4
小星星,4
香甜,4
西兰花,4
秦母,4
小妮子,4
巴掌,4
宝贝女儿,4
宛然,4
杜父,4
段时间,4
老夫,4
王老五,4
真是太,4
鲍鱼,4
寻思,4
阿星,3
慈爱,3
宾客,3
丁,3
白总,3
李,3
公子哥,3
伯母,3
沈宅,3
高挺,3
闻言,3
杜总,3
小狗,3
陈设,3
毛,3
祖宗,3
谢谢您,3
宝贝儿,3
伯父,3
沈哥,3
静静,3
顾客,3
冷大哥,3
王,3
圣轩,3
小点声,3
别吵,3
向前走,3
冷处理,3
铁树开花,3
冷汗,3
大肆宣扬,3
赖皮,3
卫生巾,3
小酌,3
支支吾吾,3
砰砰,3
索,3
英俊潇洒,3
楚楚可怜,3
冷冰冰,3
温馨,3
寒霜,3
林欢,3
暴风雨,3
