name,count
乔如,9818
莫琪,3991
裴耀南,3753
乔,2328
薄寒尘,1844
权少霆,1435
修齐,1253
阿九,1222
周,1048
陆晟瑞,881
老公,809
闻言,785
楚晚棠,747
楚星痕,727
薄阿九,679
宝宝,659
章,555
裴,539
小姐,529
莫斯耀,503
谢谢,383
温月晴,342
厉,307
少夫人,299
江,248
楚,247
凌云,230
苏情云,219
楚母,198
沈霜霜,188
容颜,186
啊啊啊,165
明白,154
张嫂,149
裴母,138
阿耀,129
裴家,102
楚家,100
名媛,98
乔母,94
楚父,91
宛若,90
斯耀,85
裴少,84
薄总,84
薄初,76
和乔,74
白皙,73
白登,68
阿勋,65
乔尔,64
凌家,60
宝贝,58
少霆哥,56
陆,56
闻声,56
姜挽禾,55
道谢,53
裴耀,51
阳光,49
小丫头,48
厉爷,48
明星,47
老夫,44
幼儿园,43
毛巾,41
冷笑,41
阿姨,40
阿寒,40
周特助,40
明擎,38
哈,37
冷冰冰,37
裴老,37
阿楚,36
凌,36
陆氏,35
连,34
小姑娘,34
么,33
裴父,32
白遇瑾,32
萧,32
安静,30
老先生,29
孙子,29
楚星,29
沈,29
凌董,28
小屁孩,27
傅司烬,27
段时间,26
许知妤,26
帅哥,26
释怀,26
徐,25
木桥,25
原谅,25
云初诺,25
耶,24
祝福,23
小阿宸,23
裘,23
厉家,22
过敏,22
薄寒,22
真是太,22
汤勺,22
小莫,21
安抚,21
安全感,21
王,20
陆清,20
美的,20
养母,20
连衣裙,20
安全带,19
瑾,19
韩若轻,19
陆总,19
那丫头,19
寒,19
荣幸,19
如玉,19
马甲,18
徐静初,18
伯母,18
小爷,18
莫,18
小宝宝,17
美颜,17
祖宗,17
恩爱,17
张姐,17
小霸,16
白莲花,16
阿宸,16
官宣,16
王八,15
太久,15
斯文,15
黑曜石,15
奥,15
张口,15
单膝,15
大屏幕,14
小姐姐,14
小妹妹,14
萧家,14
初暖,14
狗东西,14
白衬衫,14
巴掌,14
楚氏,14
温馨,14
薄阿,13
凌父,13
爽,13
那小子,13
小白兔,13
冷清,13
云寄,13
银行卡,13
帅,13
老总,12
静静,12
盛世,12
温,12
张总,12
香橙,12
西红柿,12
大少爷,12
羡,11
小叔叔,11
占有欲,11
小姨,11
爸爸妈妈,11
小鹿,11
白净,11
寒尘哥,10
张开,10
宁可,10
小儿子,10
小九,10
权威,10
宝,10
萧萧,10
那俊美,10
九霆,10
凌厉,9
宾客,9
别提,9
张嘴,9
别以为,9
但凡,9
巧克力,9
初凉哥,9
颜,9
莫言,9
小女儿,9
龙凤胎,9
萌,9
浅笑,9
明家,9
太漂亮,9
从乔,8
小霸总,8
莫琪姐,8
言语,8
黄毛,8
司,8
阿九深,8
艾玛,8
祝你们,8
南妍,8
哈喇子,8
小灵,8
凌凌北,8
凌小姐,8
那乔,7
莫琪冷,7
里乔,7
官博,7
别吵,7
小琪,7
麦,7
比乔,7
楚楚可怜,7
高挺,7
殷勤,7
拿乔,7
小蜜蜂,7
阿九便,7
路恩,7
傲娇,7
宝子,7
砰砰,7
周晴,7
阿,6
恩,6
伯父,6
孙媳妇,6
傅,6
黑客,6
老楚,6
孙女,6
小老婆,6
司月晴,6
冷艳,6
爱抚,6
谢,6
灵光,6
白月光,6
胡萝卜,6
小少爷,6
别跟我,6
和晟瑞,6
薄遇宴,6
陆少,6
乔大,6
向乔,6
清香,6
唐突,6
博文,6
谢礼,6
阴晴不定,6
鬼灵精,5
舍不得你,5
南微微,5
万全,5
高攀,5
寒暄,5
盛夏,5
乌龙,5
温母,5
华丽,5
乔乔,5
厉氏,5
老天爷,5
权少,5
小家伙,5
美少女,5
傅云萝,5
薄某,5
黑乔,5
权母冷,5
权姨,5
白兔,5
友谊,5
黄蜂,5
和睦,5
塞进,5
祖母,5
过莫琪,5
施粉黛,5
柴犬,5
亦然,5
莫琪笑,4
凌辱,4
耶耶耶,4
蓝天,4
小点声,4
小奶狗,4
柴丝,4
今天下午,4
慕斯,4
孙儿,4
小丑,4
哈哈笑,4
厉暖,4
小宝贝,4
莫琪唇,4
慕,4
熊样,4
阿九会,4
今天上午,4
莎莎,4
但乔,4
陈,4
余光,4
二少爷,4
王子,4
保驾护航,4
洪亮,4
博,4
小盒子,4
小可爱,4
沙拉,4
谢谢你们,4
小弟弟,4
小萌娃,4
小龙虾,4
哈喽哈,4
包里,4
爱莫琪,4
阎王爷,4
和楚星,4
阿九抱,4
新娘子,4
过乔,4
爱乔,4
玛,4
和斯耀,4
富,4
小鸟依人,4
汤儿,4
熊猫眼,4
老东西,4
小北,4
言辞,4
母老虎,4
梅子,4
凌北,4
有福气,4
玉佩,4
敬佩,4
荣幸之至,4
鬼混,4
以身相许,4
哈巴狗,3
哈欠,3
