name,count
艾晴,7830
靳霆,5818
宁笑卉,1105
艾艾,881
冷少恒,722
章,601
慕白,513
宫之桃,427
小姐,194
卿,176
连,85
冷笑,75
慕家,73
艾晴猛,71
艾老,66
幺,56
小家伙,53
龙辉,51
裴少,51
小辣椒,48
伯父,47
恒,47
艾晴微,45
裴,45
阿白,40
冷汗,39
占有欲,39
靳霆才,37
布满,36
王朝,35
宝贝,33
安静,32
宁父,31
俊,31
阴冷,31
老公,31
宝宝,30
靳霆猛,30
明白,29
宁家,29
小白脸,28
慕,28
柳眉,25
铁青,25
靳霆黑,25
小少爷,24
宫,24
靳霆鹰,23
如玉,23
艾,23
谢谢,22
小东西,22
安抚,22
阿仔,21
砰砰,21
那小子,20
原谅,19
冷清,19
靳霆冷,18
巨婴,18
不免有些,17
塞进,17
裴家,16
大少爷,16
青紫,15
靳霆微,15
暴风雨,14
巴掌,14
艾达,14
胡闹,14
余光,14
白皙,13
冷冰冰,13
段时间,12
闻言,11
裴逸轩,11
哈欠,11
阎王,11
爸爸妈妈,11
张,11
张大脸,11
白痴,11
铃铃铃,11
希翼,10
老虎,10
小丫头,10
小女儿,10
慕父,10
张嘴,10
凌厉,10
慕少,10
木儿,10
殷总,10
阳光,9
艾晴刚,9
老二,9
老三,9
毛巾,9
殷,9
宁母,9
小姑娘,9
慕母,8
迟早会,8
今天下午,8
张唇,8
艾晴冷,8
帝王,8
小妹妹,8
艾家,8
老家伙,8
靳霆宠,8
汪水,8
温馨,8
小爷,8
宁静,8
麻木,7
古龙水,7
阴凉,7
艾晴唇,7
宁可,7
二少爷,7
张开,7
张口,7
太子妃,7
小鹿,7
艾母,7
铃,6
格丽,6
熊猫,6
向艾晴,6
冷少,6
靳霆拉,6
言语,6
太阳伞,6
安全感,6
阴晴不定,6
单膝,5
靳霆怒,5
玉米,5
师傅,5
慕白猛,5
顾忌,5
华丽,5
秋千,5
小丑,5
尤物,5
宫之桃猛,5
空旷,5
红颜,5
小可爱,5
越来越近,5
真是太,5
云散,5
美的,5
寒,5
胡来,5
冷母,5
小姨,5
新娘子,5
小宝贝,4
紫紫,4
青青,4
奥,4
大家庭,4
封锁,4
老太太,4
扬言,4
安全带,4
艾晴星,4
温顺,4
王八蛋,4
雷达,4
富,4
李总,4
艾晴拉,4
连体婴,4
盛怒,4
麦克风,4
卫生巾,4
鬼混,3
宫娘娘,3
小燕子,3
艾晴惊,3
胡子,3
艾晴累,3
别以为,3
掌握住,3
和三哥,3
清香,3
殷勤,3
祖宗,3
艾晴羞,3
阿猫阿狗,3
耶,3
夜幕降临,3
严重性,3
白眼狼,3
伯母,3
艾晴藏,3
靳霆勾,3
黑狗,3
帝少,3
老远,3
慕白才,3
孔雀,3
恩爱,3
小脸蛋,3
小脚丫,3
肖邦,3
宁笑融,3
靳霆刚,3
黑卡,3
寒冰,3
子宫,3
饶恕,3
靳,3
