name,count
乔菀,2195
戚越泽,1654
林云雅,725
水今瑶,661
戚,635
乔,595
乔姝,593
盛云朝,505
陈默,340
小姐,210
章,163
张蓝心,140
阿姝,140
水今霖,119
陈,111
越泽,104
林森,101
田喜,96
戚氏,86
娄阳,70
闻言,68
言语,65
今瑶,51
孙子,50
小保姆,49
谢谢,41
老夫,38
安静,36
云雅姐,33
陈特助,28
盛哥,25
连,24
张,24
吕田,22
张嘴,21
段时间,20
盛先生,19
明白,19
向晴,19
小姑娘,18
冷笑,18
巧克力,17
今霖,17
子悦,15
戚总,15
张蓝,14
道谢,14
冷凝,14
戚家,13
小祝,13
太久,12
盛云,12
余光,12
乔菀刚,12
阿姨,12
但凡,11
林小姐,10
乔菀抿,10
云雅,10
戚大,10
晓云,10
明星,9
老先生,9
乔菀才,9
哈,8
王,8
宛若,8
戚越,8
雨露,8
老太太,8
安抚,7
朱朱,7
林云,7
凌厉,7
乔姐,7
乔菀三,6
都还没,6
顾客,6
单元楼,6
殷勤,6
和乔姝,6
小高,5
寒暄,5
保持沉默,5
侍应生,5
银行卡,5
静谧,5
冷汗,5
和子悦,5
博文,5
向晴姐,5
内存卡,5
杨伟,5
不免有些,5
蓝心,4
连衣裙,4
苏醒,4
老婆子,4
慈爱,4
温馨,4
塞进,4
云朝,4
乔菀张,4
乔菀正,4
冷冰冰,4
乔菀会,4
盛,4
原谅,4
戚越泽刚,3
卡住,3
和乔菀,3
越泽那,3
孙女,3
乔菀笑,3
哈欠,3
静静,3
张氏,3
帅哥,3
满怀,3
乔菀先,3
卢晓云,3
巴掌,3
勾唇,3
星巴克,3
希冀,3
安姐,3
乔菀见,3
乔菀护,3
那丫头,3
乔姝刚,3
陈大师,3
博,3
别提,3
安全带,3
雅正,3
