name,count
罗爱莲,2104
陆青野,1378
罗母,507
芊芊,359
罗父,291
陆母,287
陆,258
小姐,180
白庚,173
马逸轩,139
罗,133
爱琴,129
冬念雪,122
章,103
杜,94
柳熵,57
爱莲,55
明白,55
陆总,40
谢谢,38
戴安娜,32
陆青,32
念雪姐,30
罗氏,29
小罗,25
庄园,24
连,24
逸轩,22
富,20
陆氏,19
安静,17
巴掌,16
子宫,16
过敏,14
孙子,14
宝宝,12
原谅,12
闻言,11
南二环,11
恩,10
伯母,10
马冬梅,10
全聚德,10
乌鸡汤,10
马,9
康乃馨,9
老衲,9
老罗,9
么,8
小姑娘,8
张嘴,8
别提,7
少夫人,7
和尚,7
小菊,7
释怀,7
罗爱莲怀,7
苏醒,6
陆美人,6
轩,6
庚,6
太久,6
明星,6
孤儿,6
张开,5
养母,5
老天爷,5
小姑子,4
安抚,4
雪松,4
闻声,4
那爱莲,4
冷冰冰,4
灵山寺,4
乔丹,4
屈膝,4
雪亮,4
李梅,4
唐,4
温馨,4
勾唇,3
张,3
唐家,3
哈欠,3
夜幕降临,3
花园里,3
余光,3
老公,3
探监,3
段时间,3
司仪,3
安全措施,3
汤,3
和罗父,3
白眼狼,3
祝福,3
阳光,3
张大,3
真是太,3
都还没,3
麻利,3
张得,3
英俊,3
宁可,3
静静,3
罗母罗,3
张导,3
希冀,3
老伯,3
王府,3
俊,3
