name,count
靳喜,2220
沈之言,1486
沈,744
沈唯,540
靳宝儿,291
蓝若,250
宋橙,159
丁平,140
宝儿,95
秦聿风,86
章,86
小家伙,84
沈氏,72
小姐,69
陈叔,62
蔡周权,62
靳,59
沈总,59
谢谢,52
小丫头,50
戴嘉铭,40
蓝母,38
沈唯景,36
沈之,33
蓝,32
老公,30
蓝氏,30
靳喜笑,29
幼儿园,27
秦,27
安静,25
小少爷,23
张姐,23
阿姨,22
张清玲,22
黎家,21
慈善,20
蓝家,19
蔡,19
孙子,19
连,19
顾知行,18
明白,17
闻言,15
李姐,15
宝贝,14
小叔,13
刘姐,13
靳喜才,12
段时间,11
小姑娘,11
言语,10
范云伟,10
望远镜,9
顾风,9
龙凤胎,9
余光,9
小靳,9
浅笑,9
丁,8
小耳朵,8
小孙子,8
原谅,8
美玉,8
盛威,7
黎,7
帅哥,7
沈先生,7
沈之文,7
老先生,7
蓝父,7
靳喜见,6
秀眉,6
大伯母,5
双全,5
范美虹,5
孙女,5
真是太,5
俊,5
周,5
母爱,5
靳喜正,5
小妞,5
蔡周,5
蓝若生,5
白皙,5
勾唇,5
范,5
小白兔,5
小可爱,5
蓝总,5
闻声,5
拉勾,4
小儿子,4
靳喜顿,4
冷不丁,4
玛德,4
靳喜先,4
安抚,4
冷笑,4
黎氏,4
恒,4
小盒子,4
马赛克,4
凌厉,4
靳喜刚,4
今天下午,3
王八蛋,3
占有欲,3
靳喜空,3
小孙女,3
别以为,3
鬼灵精,3
黑亮,3
安全感,3
明星,3
封信,3
静静,3
老黎,3
靳喜拉,3
靳喜总,3
小奶狗,3
小金库,3
