name,count
肖御霆,1001
娄离,653
雨慕臻,511
小姐,450
王爷,444
苏云晨,408
肖御霖,155
娄,131
章,107
温啸,104
肖家,88
肖,86
肖二,83
李雪菲,73
许可,70
云晨,65
北辰,64
府,63
吴,60
林四,54
苏家,53
苏府,53
阿秋,50
岳熠成,49
温,49
亦然,48
罗以琛,46
郎中,46
苏父,42
路逸川,40
肖府,39
夏若,38
肖震业,37
肖御雲,37
虹妆轩,35
肖御霁,34
岳泓清,34
夏,34
路鸿程,33
王府,33
叶,28
苏云,28
侍卫,28
曹丞相,25
娄总,25
曹,24
王,24
刘,24
宫,23
徐将军,23
绮想,23
刘阿姨,23
慕臻,22
红柳,22
小丫头,21
轩,19
明白,19
醉仙楼,17
老七,17
蓝宇晨,17
海氏,16
宝贝,16
曹家,16
老公,15
连,15
阳光,15
徐瑾骅,15
岳氏,15
于凯轩,15
肖家大,15
刘肃,14
马,14
肖大,14
谢谢,14
肖家二,12
蓝家,12
云儿,11
林,11
小太监,11
紫嫣,10
吕,10
苏,10
肖家四子,10
张罗,9
师傅,9
黑寡妇,9
曲婉婉,9
王妃,8
于瑞,8
房契,7
沈,7
安静,7
师哥,7
元宝,7
苏总,7
贺礼,7
冷冰冰,7
徐公子,7
毛巾,7
娄离正,7
温家大,7
盛恩,7
安全感,7
小女生,7
封信,6
马背上,6
罗,6
宾客,6
温二,6
权贵,6
邢峰,6
老总,6
孙子,6
曲婧,6
霖,6
温大,5
哈哈笑,5
小点声,5
蓝家枪,5
红宝石,5
阴冷,5
赛仙阁,5
巴结,5
周全,5
老先生,5
林大人,5
大少爷,5
花园里,5
小女儿,5
富,5
醉香楼,5
大屏幕,5
氅衣,4
练武,4
张望,4
张,4
明星,4
冷汗,4
巧克力,4
王雨,4
和彩玉,4
凌厉,4
兰花,4
肖某,4
安抚,4
殷勤,4
司仪,4
曹诗,4
宝石,4
支支吾吾,4
张扬,4
公子哥,4
马背,4
安全措施,4
小盒子,4
徐小,4
但凡,4
科考,4
小儿子,4
小姑娘,4
岳阳王,4
连衣裙,4
李小姐,4
邢,4
小兔子,3
娄大,3
姜汤,3
那可真,3
向翎,3
温馨,3
米汤,3
苏大,3
盛世,3
祖孙,3
墨绿色,3
老二,3
怀春,3
爱慕,3
绮的,3
小女子,3
小燕子,3
和睦,3
宫里来,3
胡子,3
寒暄,3
帅哥,3
孙女,3
叶老,3
紫玉,3
岳总,3
明朗,3
冷一笑,3
徐夫人,3
宝贵,3
肖父,3
达官显贵,3
曹府,3
谢礼,3
冷笑,3
