name,count
唐,7918
徐行,4284
何佳慧,1676
何飞,922
顾,919
宋怡宁,870
老太太,805
何梦瑶,742
顾总,694
秦,625
顾母,583
小家伙,531
席慕言,411
陶佳,316
顾父,286
阿行,259
连,230
小霸王,217
栾旭,194
展凌,186
阿慧,184
花馨,171
顾氏,162
唐小姐,156
明白,139
俊,133
阿飞,112
小姐,111
谢谢,107
越欣,107
老夫,105
小妮子,104
顾景润,103
段时间,95
冷笑,95
闻言,73
孙子,73
孙女,72
梦瑶姐,63
伯母,58
丽姐,57
刘瑶,56
安静,56
明星,47
铁青,46
卓庆荣,44
夏诗,42
冷汗,40
小狗,39
凌峰,36
英俊,36
宋,34
宝贝儿,33
伯父,33
冷冰冰,32
星辉,32
阿言,32
何母,31
张嘴,30
原谅,29
但凡,27
安全带,26
顾徐,26
道谢,26
小凌总,25
小丫头,25
忆江南,24
阳光,23
阿姨,23
老公,22
陈芳,22
越美华,22
旭,21
小姑娘,21
余光,21
哈欠,21
黑客,21
慕言,19
何先生,19
恩爱,19
麻木,19
塞进,19
顾先生,18
苏牧,17
乌云密布,17
巴掌,17
何佳,17
毛巾,16
言语,16
砰砰,16
冷冷道,16
帅哥,16
老天爷,15
宋怡,15
乌,15
静静,15
张开,15
啊啊啊,14
二少爷,14
耶,14
小龙虾,14
秦水清,14
言少,14
大了些,14
孙媳妇,14
帅,14
秦皇,14
李特助,14
宝贝,14
慧眼,13
梦瑶,13
银行卡,13
白莲花,13
太久,13
爱慕,12
真是太,12
席氏,12
胡凡,12
凌氏,11
支支吾吾,11
邱,11
许诺,11
今天下午,11
宾客,11
席慕,11
康德,11
侍应生,11
别跟我,10
刘,10
章,9
言辞,9
刘燕,9
庞平,9
卓,9
顾忌,9
毛,9
栾,9
小姐姐,9
幼儿园,9
老总,9
连唐,9
杨,9
哈,8
红玫瑰,8
齐齐,8
公子哥,8
高媛媛,8
胡来,8
王八蛋,8
老婆子,8
安全感,8
孤儿,7
冯,7
祖宗,7
楚楚可怜,7
慈善,7
慧,7
练习生,7
宝宝,7
小便宜,7
寒暄,7
巴结,7
白皙,7
博,7
寒霜,7
郎才女貌,7
艾滋,7
刘大爷,6
小白脸,6
鲁莽,6
浅笑,6
陶,6
凌厉,6
张口,6
小兔子,6
权贵,6
长得帅,5
凌总,5
金丝边,5
香蕉皮,5
别太,5
晋级,5
伯伯,5
祖孙,5
谢谢您,5
那群人,5
丛生,5
刘姐,5
何飞冷,5
保时捷,5
连衣裙,5
老先生,5
不免有些,5
殷红,5
栾旭温,5
有芳姐,5
杨总,5
森凉,5
官博,5
黑名单,5
阿猫阿狗,5
姜汤,5
小可爱,5
林立,5
冷若冰霜,5
凌家,4
白衬衫,4
包里,4
艾特,4
灵,4
宝马,4
卡住,4
宿醉,4
小盒子,4
搂搂抱抱,4
小宝宝,4
寒冰,4
白花花,4
明朗,4
和煦,4
冷不丁,4
高悬,4
阴晴不定,4
青青,4
祝福,4
阴云密布,4
英挺,4
祝你们,4
牛皮糖,4
阴云,4
和蔼,4
戴绿帽子,4
鱼鹰,4
顾总挺,4
小女儿,4
单恋,4
红颜,4
和稀泥,4
恩,4
干女儿,4
小丑,3
何飞爹,3
太漂亮,3
安抚,3
修仙,3
大少爷,3
安保,3
迟早会,3
孙女儿,3
沙滩,3
左拐,3
王子,3
明里暗里,3
陶佳会,3
苗子,3
望风,3
凌,3
越矩,3
小霸,3
太猛,3
爽,3
华丽,3
占有欲,3
乔布,3
富尔顿,3
阿旭,3
母老虎,3
胡同,3
徐,3
别吵,3
周旋,3
陈,3
汤,3
步履,3
巨石,3
少男,3
车库里,3
别当真,3
幺,3
白白,3
雷轰,3
谢礼,3
施施然,3
夏,3
殷勤,3
支付宝,3
姚,3
阿牧,3
薄荷糖,3
白发,3
王,3
陶佳才,3
熊心豹子,3
张,3
那小子,3
张狂,3
鬼混,3
道德,3
暴风雨,3
么,3
含春,3
凌迟,3
勾勾,3
小学生,3
白痴,3
玄幻,3
