name,count
姜越翎,11224
陆亦弛,6795
顾舒言,985
陆总,767
姜小寻,735
宣恒,669
秦岩,639
姜小姐,575
薛佳琪,566
苏沫,538
陆先生,500
章,488
老夫,485
贺子渝,480
欧天瑶,461
小姐,425
陆,417
姜姜,375
艾蕾,281
陆氏,260
张佩萍,260
陆太太,214
乐以晴,213
薛,205
明星,190
冷笑,187
连,186
明白,184
舒言,177
宋俊风,175
赵婉,146
姜姜姐,141
谢谢,130
沈云,121
嘉实,120
安静,116
闻言,113
顾业明,111
阿寻,86
顾氏,82
高怡,73
宣,70
冷不丁,67
乐母,66
安抚,59
陆夫人,58
贺,56
老太太,54
罗芊,53
夏桑桑,51
罗聪,51
贺家,49
小雅,49
赵,45
宝宝,45
余光,43
吴采,42
么,40
子渝,38
别以为,37
顾舒,36
舒,35
贺崇,35
秦特助,33
侍应生,33
原谅,33
寒暄,33
吴,32
段时间,31
伯父,31
殷勤,31
张嘴,30
康复,29
宋氏,28
沈云开,28
姜大明,27
胡闹,27
宾客,27
小姑娘,27
肖,26
巴掌,26
言语,26
陆桐,25
恩爱,25
陈夫人,25
太久,24
伯母,24
周叔,23
尼克尔,23
苏沫一,22
姜,21
红颜,21
孔阳,21
顾总,20
言辞,20
俊,20
薛家,19
郭,19
凌厉,19
张口,19
刘总,19
冷冰冰,18
英俊,18
荣幸,18
顾,17
老公,17
孙子,17
老婆子,17
赵导,16
萍,16
博,15
冷汗,15
大亨,15
楚楚可怜,15
贺老,15
程兰,15
老总,15
阴冷,15
凤凰,15
邢,14
陈氏,14
陆毅铭,14
帅哥,14
祝福,14
顾先生,14
塞进,14
赵寅,14
兰姐,14
包里,13
贺氏,13
名媛,13
顾母,13
天瑶,13
小寻,13
张导,12
蕾,12
陆亦,12
那群人,12
灵光,12
明里暗里,12
老先生,12
施施然,11
呼唤,11
道谢,11
阳光,11
方某,11
贺少,11
白皙,11
秦,11
安保,11
刘某,11
别提,11
毛巾,11
庄园,11
阴云密布,11
沈老师,11
阿姨,10
布满,10
大红大紫,10
耶,10
温顺,10
刘,10
支支吾吾,10
孙儿,10
仁和,10
赵婉一,9
高潮,9
罗伯特,9
姜小,9
和亦弛,9
小少爷,9
和宣恒,9
桑桑姐,9
铁青,9
权贵,9
连陆亦,9
白眼狼,8
关怀,8
慈祥,8
麻木,8
白白,8
小白脸,8
勾唇,8
空旷,8
宝贝,8
宋俊,8
陈总,8
白痴,8
别太,8
过敏,8
宣总,8
谢谢您,8
瑞瑞,7
老中医,7
赫赫有名,7
陆某,7
乐姨,7
独栋,7
顾忌,7
连姜越,7
宁静,7
太天真,7
明朗,7
苏沫正,7
斯文,7
宝贵,7
和蔼,7
光鲜亮丽,6
陈述,6
道贺,6
阴晴不定,6
肃,6
雪藏,6
巴结,6
刘氏,6
冷冷道,6
浅笑,6
何叔,6
幺,6
宋父,6
冷清,6
赵总,6
孙媳妇,6
麻利,6
子宫,6
但凡,6
友谊,6
陆少,6
顾大,5
张唇,5
哈,5
慈爱,5
宋先生,5
小宝宝,5
毛,5
冷光,5
赵婉咬,5
周旋,5
乐以,5
和高怡,5
温雅,5
陆大,5
滑雪,5
巨星,5
姜越,5
慈善,5
释怀,5
青紫,5
静静,5
籍无名,5
真是太,5
祝贺,5
盖章,5
爱慕,5
大驾光临,5
冷凝,5
宋,4
冷若冰霜,4
小丫头,4
权威,4
苏醒,4
越来越近,4
张大,4
安全措施,4
都还没,4
万幸,4
原以为,4
啊啊啊,4
桂花,4
天亮,4
梦可丝,4
冷一笑,4
陆洋,4
周,4
姜先生,4
宝石,4
哈欠,4
安危,4
华丽,4
满怀,4
齐齐,4
温馨,4
安全带,4
姜母,4
连珠炮,4
搂搂抱抱,4
金屋藏娇,4
暴风雨,4
宿醉,4
岳父,4
师傅,4
龙飞凤舞,4
乌龙,4
宁可,4
高昂,4
姜家,4
盛满,4
刁蛮,4
别介意,4
远远不够,3
道德,3
顾太太,3
幸会幸,3
平躺,3
小屁孩,3
林林总总,3
薛氏,3
屈尊,3
沈先生,3
沈大,3
方少,3
蓝颜,3
洪水猛兽,3
高耸,3
寻常路,3
孙,3
文雅,3
宣恒正,3
刁钻,3
宣母,3
波涛,3
苏沫朝,3
薛父,3
闻声,3
今天下午,3
言明,3
别吵,3
汤水,3
和舒言,3
寒霜,3
夜幕降临,3
乐家,3
小白兔,3
张扬,3
黑名单,3
那小子,3
花旦,3
苏沫见,3
查明,3
小家伙,3
苏沫冲,3
和煦,3
高雅,3
保持沉默,3
沈,3
金字塔,3
苏沫听,3
包小包,3
来劲儿,3
姜某,3
吉普车,3
和善,3
宝,3
向宣恒,3
宣恒才,3
连秦岩,3
胡来,3
严重性,3
余晖,3
解酒茶,3
祖母,3
封锁,3
张开,3
毛毛,3
东道主,3
格雷斯,3
双喜临门,3
迟早会,3
白莲花,3
侠,3
