name,count
楚千亦,8459
谷枫,1086
阿喜,985
楚千帆,937
小姐,873
米雪,863
楚,494
章,369
王小贱,344
小东西,293
大少爷,263
庞媚,248
恩,241
凌,228
连,226
艾米,222
阿彪,161
俊,152
楚家,147
雪儿,136
谢谢,126
阿姨,114
米鹏,105
白小姐,99
阿虎,96
明白,94
楚霖,93
叶兰,90
傲娇,90
贾三,87
小家伙,85
原谅,84
张嘴,72
二少爷,63
贾导,62
毛巾,60
小镇,59
冷汗,58
阿霞,55
白皙,55
金,54
少夫人,51
段时间,50
小丫头,48
王,48
小少爷,48
楚氏,48
帅哥,47
吴帆,47
老公,45
明星,43
黑亮,43
王妈,41
冷笑,41
白,40
宝贝,40
孟诗琪,39
安静,37
胡颖,36
阿媚,36
白弛,36
孙子,34
花园里,33
千帆,32
张开,30
巴掌,29
白总,29
安抚,29
余光,28
白痴,28
阴冷,27
李,27
小雅,27
冷不丁,27
古谦毅,27
冷冰冰,27
祖宗,25
阿寿,25
宝宝,25
温馨,25
霍地,25
殷勤,23
阿禄,22
和天羿,22
宁静,22
张望,22
白氏,22
小姑娘,21
张口,21
阴翳,21
凌菲菲,21
雪亮,20
那小子,20
李妈,19
恩爱,19
老远,19
萌,19
麻木,19
毛,19
阿,18
太久,18
阳光,18
啊啊啊,18
阿枫,17
闻言,17
张,17
胡,17
羿,17
布满,17
小嘴儿,17
庄园,16
红玫瑰,16
巴结,16
老东西,16
真是太,16
铁青,15
丁点儿,15
英俊,15
刚毅,15
别以为,15
紫檀木,15
伯母,15
王晓建,15
宝贝儿,15
冷凝,15
那丫头,14
安全带,14
小学生,14
如玉,14
耶,14
谷,14
庞,14
宾客,14
张俊脸,14
那串,14
阳刚,14
加菲猫,13
田埂,13
阳光房,13
塞进,13
高清,13
小混混,13
紫檀,13
夏,13
林子,13
楚大,13
慈祥,13
小美女,13
康复,13
希冀,12
花香,12
林子里,12
静默,12
爸爸妈妈,12
勾唇,12
仰脖,12
王子,12
金光,11
慈爱,11
包公,11
白晓丽,11
凌厉,11
砰砰,11
言喻,11
施施然,11
饶命,11
爱上你,10
么,10
帅,10
小妹妹,10
秀眉,10
千亦,10
楚妈,10
祝福,10
小女儿,10
王伯,10
陈年,10
麻利,10
顾枫,10
向天羿,10
贾,10
都悔青,10
喝咖啡,10
俊逸,9
白玉,9
枫,9
但凡,9
徐徐,9
安全感,9
呼唤,9
蓝天白云,9
