name,count
黄嘉茜,8336
闫靖荣,4119
邹莹,1381
冯东,470
叶封,393
邱思诺,358
梁佩文,356
闫,353
李子,348
章,334
明白,277
阿姨,274
茜,256
夏,247
小姐,197
荣成,149
俊,146
小云,135
秦思婉,128
张艺,126
连,125
阿六,119
李,117
白莲,113
幼儿园,111
荣,98
谢谢,98
木耳,94
孟,93
杨慧,86
夏家人,80
梁氏,80
梁,79
东风破,75
老公,70
李明轩,70
李明旭,68
黄氏,66
安静,65
原谅,57
闫总,56
夏家,55
凤凰,51
夏海,51
爸爸妈妈,49
陈经理,47
吴成,47
叶雨婕,46
李医生,46
夏珏,42
邱,42
冷笑,41
邹母,41
邹,38
嘉茜,38
张嘴,36
陈姐,36
阿婉,36
佩佩,35
段时间,34
啊啊啊,34
牛郎,31
夏氏,31
安抚,28
闻言,28
齐少棠,27
吕楠,27
冯先生,26
闫母,26
封哥,26
别提,26
张口,25
思诺,25
真是太,25
梁小姐,25
都还没,24
阳光,24
靖荣,24
太久,24
子俊,24
乔,23
黄世华,23
老夫,23
别以为,22
冰淇淋,22
塞进,22
邹父,22
宝贝,21
阿朗,21
老太太,20
小人儿,20
龙虾,19
扬声,19
道谢,19
蔡先生,19
雨雪霏霏,19
冯,19
小脸儿,19
耶,19
刘导,19
宝宝,18
全家福,18
毛巾,18
静静,18
和威廉,18
莹姐,17
钟声,16
童养媳,16
萌,16
杨子荣,15
盖子,15
冯总,15
恩,14
旭,14
秦,13
黄,13
苏醒,13
安全带,13
舒,13
哈欠,12
越来越近,12
小少爷,12
张,12
夏小白,12
别介意,11
康复,11
老虎,11
么,11
冯氏,11
闫某,11
英俊,11
哈哈笑,11
陈,11
白银,11
沙拉,10
祝福,10
老三,10
毛,10
砰砰,10
伯父,10
余子,10
顾忌,10
汤汁,10
谢,10
孔雀,10
和帅,9
秦家,9
空旷,9
小姑娘,9
吕总,9
嘉茜姐,9
水煮鱼,9
熊猫,9
小红花,9
金龙,8
单身汉,8
白莲花,8
帅哥,8
麻利,8
老李,8
梁佩,8
鑫,8
牛腩,8
小李,8
那小子,8
吴成惊,7
师傅,7
老先生,7
邹莹才,7
米奇,7
小狗,7
邹姨,7
闫家,7
钟塔,7
胡,7
李树才,7
哈士奇,7
小丫头,7
林静怡,6
秦思,6
邹莹冷,6
明星,6
白痴,6
闫靖,6
巧遇,6
老干妈,6
熊熊,6
秋千,6
包里,6
温馨,6
铃铃铃,6
宁静,6
浅笑,6
夏阿姨,6
陈述,6
小宝,6
秦朗,6
老夫妻,6
言语,6
英勇,6
伯伯,6
齐齐,6
余光,6
小可怜儿,6
张律师,6
张开,6
李钟,6
清香,5
舒服些,5
帕子,5
长得帅,5
言辞,5
冷冰冰,5
小狗狗,5
愿赌服输,5
邹莹冲,5
叶,5
王,5
乌龙,5
闫氏,5
花园里,5
陈昆,5
伯母,5
张扬,5
梁成栋,5
爽,5
赖皮,5
冷一笑,5
白白,5
宝贝儿,5
靖,5
友谊,5
五彩池,5
冷汗,5
胡闹,5
美的,5
铃,5
谢谢您,4
小鸟依人,4
老二,4
寻人,4
张大,4
红玫瑰,4
明朗,4
宾客,4
昨天早上,4
和煦,4
小女儿,4
陈导,4
阴转晴,4
李师兄,4
白搭,4
卡住,4
小家伙,4
乜,4
毛毛,4
家茜茜,4
小东西,4
子孙,4
别吵,4
云云,4
柏树,4
麻木,4
闫大,4
慈母,4
满屏,4
和蔼,4
青紫,4
徐徐,4
福至心灵,4
灵光,4
单膝,4
太天真,4
博,4
和善,4
胡来,4
布满,4
俊逸,4
小女生,4
小兔子,4
任凭,3
白雪公主,3
老远,3
高昂,3
迪士尼,3
严重性,3
白龙马,3
上楼来,3
龙凤,3
强自忍,3
小妹妹,3
胡子,3
寒风凛冽,3
巴结,3
令尊,3
温顺,3
连邹莹,3
鲁莽,3
万幸,3
香蕉皮,3
马虎,3
觉得很有,3
白小夏,3
加粗,3
荣焉,3
邹莹白,3
丽景,3
梁先生,3
肖,3
赵,3
佩文,3
汪,3
吕,3
凤眼,3
夏平,3
有完没完,3
夏志杰,3
祝福语,3
冷清,3
望,3
小天使,3
心情舒畅,3
白布,3
仁慈,3
单亲家庭,3
天亮,3
帅,3
展颜,3
向威廉,3
雨婕,3
静默,3
羽,3
李先生,3
相敬如宾,3
邹莹拉,3
秀眉,3
荣儿,3
荣哥,3
白雪,3
越长越,3
封一,3
哈,3
那群人,3
以身相许,3
莫辩,3
