name,count
云蓁,2555
陆卓景,1759
苏明礼,408
赵晓艺,358
萧雷,206
小姐,162
章,144
小提琴,134
卓景,123
蓁蓁,122
陆霖,115
陆总,87
明白,74
王伟,72
周先生,66
云芳,59
云祁,57
谢谢,57
小东西,54
吴迪,53
老夫,52
陆卓伦,51
冯,49
陆氏,49
冯亮,49
晓艺,48
明礼,46
陆卓,44
连,42
幼儿园,37
小川,36
孤儿,35
柳世清,34
陈国豪,34
陈悦廷,34
余光,34
叶姨,33
安静,33
周正,32
陆,28
艾,26
老公,25
陈,23
白皙,22
阿姨,21
陈总,21
陆太太,21
伯伯,20
向云蓁,19
陆云念,19
冷笑,18
小屁孩,18
阴冷,17
张嘴,17
罗,16
和三叔,16
但云蓁,15
静谧,15
和云蓁,14
冷汗,14
张口,14
斯文,14
慈善,13
小姑娘,13
阳光,13
云祁哥,12
林子,12
陆先生,12
张菲,11
吴,11
白月光,11
刘姐,11
毛巾,10
浅笑,10
冷杉,10
宝马,10
老王,9
静默,9
勾唇,9
慕天,9
第一弦,9
安抚,9
周,9
原谅,9
巴掌,8
雷诺,8
卓伦,8
富豪,8
张开,8
阿伟,8
明星,8
小儿子,8
姜艾,8
方灿,7
砰砰,7
寒暄,7
温泉,7
安全带,7
侍应生,7
之恋,6
卓其,6
少夫人,6
景英挺,6
毛,6
湛湛,6
老太太,6
连衣裙,6
白净,6
太久,6
老冯,6
墨绿色,6
小鹿,6
老天爷,6
小兔子,6
原以为,5
黄怡,5
子宫,5
韩艺澄,5
洪水,5
银行卡,5
大满贯,5
才华,5
但凡,5
荣幸,5
顾忌,5
向三叔,5
布满,5
弓起,5
小雨,5
谢幕,5
从云蓁,5
温,5
碧翰楼,5
云蓁刚,5
星黛露,4
言语,4
霍明,4
小白兔,4
承诺书,4
小树林,4
小白脸,4
小三,4
张扬,4
塞进,4
秦,4
双宿双栖,4
金丝边,4
特邀嘉宾,4
张望,4
古老,4
言辞,4
冷清,4
祝贺,4
林洙,4
白衬衫,4
古董,4
安全措施,4
占有欲,4
爱上你,4
小孙女,4
空旷,4
温顺,3
云蓁微,3
高超,3
楼栋,3
陈老师,3
越聚越,3
康复,3
今天下午,3
官铮,3
卫生巾,3
景清隽,3
凌厉,3
沙沙声,3
和云,3
冷光,3
释怀,3
荣誉,3
宝贝,3
巨石,3
后云蓁,3
加紧练习,3
云蓁羽,3
刚刚开始,3
小夜曲,3
英挺,3
爸爸妈妈,3
老婆子,3
祖孙,3
练琴,3
奥斯卡,3
云蓁顿,3
苍松翠柏,3
冷冷道,3
二十四孝,3
关怀,3
刁钻,3
静静,3
小礼堂,3
权贵,3
恩爱,3
黑客,3
容颜,3
陆卓景俊,3
白雪,3
小溪,3
羽,3
别以为,3
小弟弟,3
小脸蛋,3
