name,count
肖云叶,11500
陈亦峰,9212
顾黎,7678
伍衣衣,5073
霍承玉,5000
霍非夺,3927
康仔,2555
金勋,2269
蓝雪灵,2226
顾六,1926
云非言,1757
费乾,1608
雷萧克,1469
肖晓萌,1456
伍,1288
章,1145
霍,1102
萧落,998
顾黎未,978
安娜,971
朱莉,969
小姐,964
亦峰,933
王芬芬,931
刘以晨,923
陈,851
云叶,818
阿忠,800
顾在远,769
白莎莉,747
顾少,717
穆白,649
胡天,582
苏锦之,556
仁爱,553
啊啊啊,529
明白,527
霍总,508
萧,504
陈总,503
连,498
蒋勋,480
霍非,382
阮琳,362
贺,353
韩洛然,333
冷汗,332
小丫头,331
阿勋,330
雪兰,326
巫冰,324
小东西,317
萧梅,305
冷笑,301
谢谢,289
肖,288
陈老爷子,280
老公,278
雪灵,253
江童,248
承玉,236
方一涵,232
伍仁丽,228
俊,227
廖,209
阿姨,202
武功,196
正虎堂,193
霍夫人,186
康哥,185
苏珊娜,172
金,171
石鹰,168
顾,158
萧克,155
沈,155
宝贝,153
黎未,152
杨敏,151
本少爷,148
云乔,148
美的,148
真是太,137
伍衣,136
那丫头,131
江,130
雪儿,128
霍先生,127
小宝贝,125
马闻凯,118
浅笑,109
霍正,107
穆千,103
莫,103
修正,101
张开,98
安静,95
明星,94
那小子,94
英俊,92
原谅,92
清香,91
美男子,91
张嘴,91
毛巾,90
伍家,89
陈少,88
陈大,87
白皙,86
帝王,86
白痴,86
大少爷,84
帅哥,83
张西西,83
云家,80
莎莉姐,75
庄园,75
哈欠,74
王川,74
黄毛丫头,73
老爹,71
晓萌,70
孙子,69
阳光,69
师傅,67
宁可,67
毛,65
金少,65
少夫人,64
麻利,64
安抚,63
黑帮,63
肖云,62
布满,62
张彪,62
田萌,60
老姐,60
伍大妞,60
张大嘴巴,59
呼唤,56
曼溪姐,55
祖宗,55
苏曼溪,53
宾客,52
哈,52
霍承,51
老天爷,51
巴结,51
布加迪,50
小姑娘,50
爱抚,49
巴掌,48
温馨,48
黑帝,48
黄毛,48
赖皮,48
阴冷,47
高强,46
林彻,46
晓晨,45
荣幸,44
雷少,43
张大,43
萌,43
小白兔,42
大屏幕,41
老总,41
恩,41
刘,40
岳母,39
和云非,39
白白,38
穆家,38
穆,38
扬声,37
太久,37
霍家,37
红艳艳,37
王子,37
峰,36
陈先生,35
大侠,35
练功,35
罗文,35
白安,35
康先生,35
铁青,35
冷冰冰,35
张,34
张口,34
刘阴人,34
香甜,34
神智,34
向云非,34
张天伟,34
塞进,34
帅,34
老虎,33
凌厉,33
艾米,33
梅姨,33
田秋柏,32
小妞,32
封锁,32
老三,31
小白,31
韩,31
和亦峰,30
安然,30
阴森森,30
叶,30
太棒了,30
陶醉,29
别提,29
华丽,29
蓝雪,28
伍家三,28
爽,28
富豪,28
小家伙,28
莎莉,27
殷勤,26
小狗,26
玉树临风,26
耶,26
小老虎,26
别以为,26
熊,26
小女生,26
小点声,26
公子哥,25
以身相许,25
王胖子,25
张伯,25
家居服,25
玉微微,25
刘海,25
胡同,25
米歇尔,24
花园里,24
高雅,24
伯父,24
安全带,24
俊逸,23
冷一笑,23
格斗,23
小学生,23
如玉,23
老太太,23
苏氏,23
蓝,22
王,22
马上笑,22
齐齐,22
段时间,22
廖家,22
那群人,22
萧索,22
莫家,21
宝宝,21
胡闹,21
冷若冰霜,21
闻声,21
王小姐,21
小云叶,21
白开水,21
何曾,21
雷得,21
宝贵,21
言语,20
肖家,20
静谧,20
喝咖啡,20
满天飞,20
欧阳先生,20
仁丽,20
华贵,19
苏锦,19
四季春,19
望远镜,19
陈亦,19
小少爷,19
敬佩,19
和尚,19
许业辉,19
温泉,19
贲,19
卫星,19
恩爱,19
智慧,18
