name,count
唐一宁,2896
羽,2009
凌璇,283
章,220
大少爷,197
张婶,140
阿澈,123
明珠,108
唐小姐,108
唐,105
晋,99
陈小婉,94
唐俏薇,91
冷笑,85
德叔,71
老太爷,67
连,63
李玲,60
阿羽,57
唐峰,52
张少,50
谢谢,48
小姐,33
明白,31
阳光,30
哈,29
唐总,29
唐一,25
冷汗,23
安静,20
老公,20
张然,20
白莲花,19
老太婆,18
戴绿帽子,18
宁风,17
原谅,17
张总,17
林,16
张嘴,16
马夫,15
小白兔,15
塞进,15
凌家,14
银行卡,14
小叔子,14
千金小姐,14
唐妹,13
张丰,13
孙子,13
容姨,12
段时间,12
庄园,12
齐少,11
毛巾,11
小姑娘,11
英俊,11
安全带,11
王八蛋,10
阴森,10
本少爷,10
小丫头,10
冷冰冰,10
阴冷,10
别以为,9
白皙,9
么,9
小鹿,9
占有欲,8
小俊,8
斯文,8
小三,8
巴掌,8
凌小姐,8
汤圆,7
宾客,7
帅哥,7
太久,7
文芳,7
伏特加,7
宝贝,6
小薇,6
啊啊啊,6
包小包,6
小兔子,6
温顺,6
白衬衫,6
凌厉,6
越来越近,6
麻木,6
暴风雨,6
原以为,6
仁慈,6
王子,6
老爷爷,6
宁死,5
威士忌,5
华丽,5
牛郎,5
宝贝儿,5
莫斯科,5
高攀,5
小猫咪,5
康复,5
地大喊,5
燕尾服,5
公子哥,5
楚楚可怜,5
帝王,5
冷不丁,5
张望,5
老虎,5
孔雀,5
祖母,5
兰博基尼,5
砰砰,5
宝宝,5
天王老子,5
真是太,5
闻言,5
容颜,5
但凡,5
白马王子,5
孤儿,5
小婉,5
张,5
小孙子,5
哈欠,4
老太太,4
幼儿园,4
那丫头,4
才华,4
张婶推,4
傲娇,4
牛皮糖,4
汤姆,4
鲍,4
明星,4
别跟我,4
了暧昧,4
凌氏,4
凌珑,4
浅笑,4
别吵,4
小家伙,4
盛怒,4
喇,4
小唐,4
卡,4
小璇,4
凌璇姐,4
长得帅,4
花园里,4
白月光,4
舒,4
宁静,4
洪水猛兽,4
白眼狼,4
耶稣,4
森森,4
麻醉,4
红颜,4
伯母,4
冰清玉洁,3
金碧辉煌,3
荣幸,3
左拥右抱,3
李娇,3
盖世英雄,3
汪汪,3
阿尔法,3
小山,3
巴望,3
石柱,3
安全感,3
齐氏,3
俊逸,3
那也好,3
爱慕,3
羽先,3
铃铃铃,3
太天真,3
和凌璇,3
美男子,3
山珍海味,3
燕麦,3
高明,3
名媛,3
车水马龙,3
殷勤,3
唐宫,3
宁可,3
小聪明,3
老婆婆,3
恩爱,3
金童玉女,3
金字塔,3
黄毛,3
富,3
马丁,3
毛,3
光辉,3
余光,3
耶,3
阿斯顿,3
汤汁,3
唐突,3
小混蛋,3
施暴,3
羽刚,3
艾草,3
老婆子,3
小绵羊,3
晋道,3
白光,3
连凌璇,3
冷光,3
小龙虾,3
小恩小惠,3
白衬衣,3
阿辉,3
林肯,3
熊心豹子,3
帅,3
老家伙,3
寒冰,3
张导,3
唐家,3
道德,3
