name,count
宋潇,948
季云司,718
陆,221
江,190
宋,184
小舟,64
蒋鸢,54
章,52
季鸿申,49
小姐,41
明白,39
安静,30
李妈,30
杨,27
宋总,23
元刚,23
谢谢,22
连,22
陆钧兴,19
宋氏,18
李,17
阿姨,15
段时间,14
宋潇姐,12
王姨,12
皮鞭,11
黑帮,11
王,10
朱,10
林,10
安抚,9
老总,9
帅哥,8
小宇,8
伯父,8
袁,7
静静,7
宋董,7
觉察到,7
宝宝,6
毛巾,6
张墨凡,6
太久,6
博,5
冷笑,5
刘先生,5
安全带,5
阳光,5
春丽,5
巧克力,5
汤勺,5
小丫头,5
喝咖啡,5
宝贝,5
安全感,5
许诺,4
白月光,4
王经理,4
张嘴,4
红绿灯,4
冷不丁,4
勾勾,4
宋潇刚,4
舒服些,4
言语,4
别提,4
希思黎,4
包里,4
白衬衫,4
甘甜,4
麻木,4
寒暄,4
李总,4
颜,3
宾客,3
凌厉,3
小学生,3
都还没,3
冯叔,3
孙子,3
唐突,3
幼儿园,3
张口,3
冷汗,3
张望,3
小姑娘,3
木木的,3
车库里,3
小妞儿,3
么,3
若冰霜,3
陈冠林,3
关怀,3
小鹿,3
白皙,3
老太爷,3
支支吾吾,3
索,3
涂抹,3
